Name,CarValue,Age,YearsNoClaims
Name51,459,68,5
Name52,260,69,5
Name52,2392,69,5
Name52,1924,69,5
Name52,2236,69,5
Name52,2236,69,5
Name52,1196,69,5
Name52,676,69,5
Name53,1325,70,5
Name53,636,70,5
Name53,2279,70,5
Name53,2862,70,5
Name53,2809,70,5
Name53,212,70,5
Name53,1007,70,5
Name54,1134,71,5
Name54,2754,71,5
Name54,1458,71,5
Name54,2106,71,5
Name54,2322,71,5
Name54,1026,71,5
Name54,2754,71,5
Name54,2592,71,5
Name54,2592,71,5
Name55,1430,72,6
Name55,330,72,6
Name55,2640,72,6
Name55,495,72,6
Name55,2585,72,6
Name55,1045,72,6
Name56,1848,73,6
Name56,2296,73,6
Name56,3024,73,6
Name56,2576,73,6
Name56,448,73,6
Name56,2128,73,6
Name56,2464,73,6
Name56,2520,73,6
Name56,2744,73,6
Name57,912,74,6
Name57,3306,74,6
Name57,1140,74,6
Name57,2736,74,6
Name57,2679,74,6
Name57,2736,74,6
Name58,2262,75,6
Name58,116,75,6
Name58,696,75,6
Name58,696,75,6
Name58,1856,75,6
Name58,2726,75,6
Name58,3190,75,6
Name58,696,75,6
Name58,580,75,6
Name58,2262,75,6
Name59,1357,76,6
Name59,1239,76,6
Name59,885,76,6
Name59,2242,76,6
Name59,590,76,6
Name59,413,76,6
Name60,3000,77,6
Name60,2160,77,6
Name60,2280,77,6
Name60,2160,77,6
Name60,180,77,6
Name60,1920,77,6
Name61,3782,78,6
Name61,2135,78,6
Name61,1037,78,6
Name61,1891,78,6
Name61,610,78,6
Name61,3233,78,6
Name61,1037,78,6
Name62,2914,79,6
Name62,2232,79,6
Name62,1550,79,6
Name62,2232,79,6
Name62,434,79,6
Name62,1984,79,6
Name62,2356,79,6
Name62,310,79,6
Name62,558,79,6
Name62,3038,79,6
Name63,2835,80,6
Name63,3780,80,6
Name63,882,80,6
Name63,2835,80,6
Name63,1827,80,6
Name63,3780,80,6
Name63,1638,80,6
Name63,3906,80,6
Name64,2432,81,6
Name64,3776,81,6
Name64,1792,81,6
Name64,896,81,6
Name65,3965,82,7
Name65,3445,82,7
Name65,3120,82,7
Name65,390,82,7
Name65,1170,82,7
Name65,3315,82,7
Name65,4290,82,7
Name65,650,82,7
Name65,3835,82,7
Name65,2275,82,7
Name66,2772,83,7
Name66,3762,83,7
Name66,330,83,7
Name66,2442,83,7
Name66,1188,83,7
Name66,858,83,7
Name66,1584,83,7
Name67,3082,84,7
Name67,4087,84,7
Name67,3149,84,7
Name67,335,84,7
Name68,612,85,7
Name68,3264,85,7
Name68,3944,85,7
Name69,3105,86,7
Name69,2070,86,7
Name69,1656,86,7
Name69,3243,86,7
Name69,1725,86,7
Name69,4140,86,7
Name70,350,87,7
Name70,3990,87,7
Name70,1680,87,7
Name71,213,88,7
Name71,3124,88,7
Name71,4047,88,7
Name71,2059,88,7
Name71,2698,88,7
Name71,2911,88,7
Name72,4608,89,7
Name72,576,89,7
Name72,504,89,7
Name72,5112,89,7
Name72,504,89,7
Name73,2993,90,7
Name73,1533,90,7
Name74,1480,91,7
Name74,1998,91,7
Name75,225,92,8
Name75,2925,92,8
Name75,3525,92,8
Name75,600,92,8
Name76,2736,93,8
Name76,4256,93,8
Name76,3800,93,8
Name76,3800,93,8
Name76,684,93,8
Name76,5320,93,8
Name77,2387,94,8
Name77,1694,94,8
Name77,462,94,8
Name77,1848,94,8
Name77,3003,94,8
Name78,2028,95,8
Name78,1248,95,8
Name78,5226,95,8
Name79,2449,96,8
Name79,5214,96,8
Name79,1422,96,8
Name79,2528,96,8
Name79,3081,96,8
Name79,237,96,8
Name79,1896,96,8
Name80,5680,97,8
Name81,5832,98,8
Name81,162,98,8
Name82,1558,99,8
Name82,6396,99,8
Name82,902,99,8
Name82,6642,99,8
Name82,1722,99,8
Name82,6560,99,8
Name82,5248,99,8
Name83,830,100,8
Name83,3652,100,8
Name83,332,100,8
Name84,6384,101,8
Name84,6972,101,8
Name84,6804,101,8
Name84,2016,101,8
Name84,4956,101,8
Name84,1176,101,8
Name85,5185,102,9
Name85,510,102,9
Name85,4250,102,9
Name85,4335,102,9
Name85,1105,102,9
Name86,2150,103,9
Name86,7396,103,9
Name86,5762,103,9
Name86,4128,103,9
Name86,5074,103,9
Name87,348,104,9
Name88,7040,105,9
Name88,6248,105,9
Name88,2816,105,9
Name88,3784,105,9
Name88,3432,105,9
Name88,3344,105,9
Name88,4664,105,9
Name88,2288,105,9
Name89,7209,106,9
Name89,1335,106,9
Name89,1424,106,9
Name89,6853,106,9
Name89,4806,106,9
Name89,1869,106,9
Name89,1602,106,9
Name89,3738,106,9
Name89,3115,106,9
Name90,1890,107,9
Name90,1440,107,9
Name90,6840,107,9
Name90,7290,107,9
Name90,4590,107,9
Name90,3600,107,9
Name90,5310,107,9
Name90,8190,107,9
Name90,4230,107,9
Name91,6188,108,9
Name91,3276,108,9
Name91,7098,108,9
Name91,2457,108,9
Name91,5096,108,9
Name91,4004,108,9
Name91,5915,108,9
Name92,5888,109,9
Name92,1932,109,9
Name92,4232,109,9
Name92,7636,109,9
Name92,8188,109,9
Name93,8649,110,9
Name93,5580,110,9
Name93,4464,110,9
Name94,1598,111,9
Name95,7885,112,10
Name95,380,112,10
Name95,1900,112,10
Name95,2660,112,10
Name95,4845,112,10
Name95,285,112,10
Name95,8265,112,10
Name95,7790,112,10
Name96,6912,113,10
Name97,1455,114,10
Name97,6499,114,10
Name97,7081,114,10
Name97,776,114,10
Name97,1843,114,10
Name98,6468,115,10
Name98,7644,115,10
Name98,1862,115,10
Name98,6468,115,10
Name98,4704,115,10
Name98,3822,115,10
Name99,4653,116,10
Name99,5544,116,10
Name99,1584,116,10
Name99,2079,116,10
Name99,7029,116,10
Name100,2200,117,10
Name100,8300,117,10
Name100,5000,117,10
Name100,1000,117,10
Name100,3300,117,10
