BurglaryCount,Mean_Index
25,27137.9660012
25,29217.9522324
25,24280.4319704
36,25860.8723915
4,27615.629742
4,30510.2351845
16,30651.1490205
4,3002.39399
16,21078.4076225
25,24389.852792
25,26624.729008
36,36370.3166855
36,3903.5900735
25,33426.2077192
25,31201.338208
16,33967.2691
16,30001.7301845
16,30569.9415595
16,37352.69074275
4,16924.2799855
16,9772.870462
36,34801.9979181667
36,30114.9294968333
4,17332.0841145
4,33989.896594
4,39707.331074
36,32179.2032176667
4,19723.0716835
25,40376.8356054
16,31107.2460145
30,2409.1725194
16,27786.7426095
25,36238.8765198
25,38075.0551778
4,9631.7628895
4,21888.3402055
36,26871.6476621667
36,43559.618369
25,37124.2983072
36,23073.396879
36,31134.657215
36,38516.0685246667
16,31293.8852175
4,45354.9778085
36,38910.9829703333
16,5144.03346775
36,35826.3697148333
25,23830.8562818
4,38481.7518785
16,38812.11635575
4,25253.43752
16,23094.118507
25,35471.0047768
16,38789.21204425
36,34128.9431733333
25,3405.3365288
25,28443.2681128
25,35393.871479
25,36099.2021084
16,52711.21717625
25,40135.7427874
16,49747.71257425
36,37016.8656528333
36,34110.6481968333
25,43908.7948086
4,6822.2304425
25,28219.2651988
36,32299.5988876667
4,38088.8931275
36,38295.9484193333
4,3562.2733515
36,30195.8448195
25,40607.3564518
25,41112.6829896
4,5074.576756
25,27845.0775618
16,46395.6444625
4,13544.824893
16,39295.07373425
4,3364.3106225
16,27131.23302725
36,31682.7455903333
4,39958.40684
16,29199.1755235
16,42431.33803875
4,5339.146139
16,39750.25536875
4,31729.9766035
25,23241.8583012
25,32816.191391
16,5446.877171
16,46338.8518525
36,37415.542494
4,44010.31808
36,22747.5010976667
36,40250.4841031667
16,29094.36730975
4,16071.4560505
25,27041.1153392
25,4752.3207338
25,60916.978484
36,29368.3366636667
36,42986.9415623333
25,43090.2938452
36,31120.3219518333
4,28716.099634
25,25155.2373142
4,57802.192728
16,39891.6080805
4,29266.376961
16,42594.49120775
4,39157.833818
16,6444.53884725
16,50370.15681325
36,56346.4952086667
36,38254.5719945
25,37097.2717094
25,49978.1999518
16,61164.13481275
4,68649.4164165
25,54094.5647262
16,6467.044986
25,35688.1249358
36,32671.1718756667
4,47665.6878115
4,20169.893398
25,43581.422861
20,49716.3044735
36,57285.9657386667
4,7581.433114
4,23467.9829175
16,36397.86738275
25,35912.4440028
25,27390.4999102
16,5819.623875
4,77612.525668
36,53826.4578758333
25,37440.5707496
20,46271.29661775
16,27031.3261565
36,44515.433041
4,18582.1157145
20,1323.50652425
4,41279.892315
16,54039.3678895
36,4759.63371166667
4,44109.385275
16,31985.0568365
25,35528.253502
25,43601.5464538
36,57931.9477756667
4,49527.5207145
36,39143.722792
36,39954.235333
4,18489.8809595
4,59440.8964495
4,37733.4794085
25,48896.740429
36,53425.4451828333
25,42550.561034
36,46044.7822048333
25,5731.2702248
16,22849.606595
4,45273.139623
16,59790.17983725
36,42985.5825238333
25,50642.4821848
25,59702.7256614
16,43485.79466475
25,41243.4295526
25,36516.906772
16,53997.3160475
25,86630.9355752
4,58233.766946
16,67258.80295025
36,5353.58455633333
36,65066.829787
25,37193.3200534
1,7500
16,56560.34690375
36,57990.7434256667
25,38741.6784474
36,35339.860218
36,51126.3084778334
25,65581.5606522
25,63805.5994586
25,41761.6562094
25,37351.3995014
36,43415.9922686667
4,8791.5590785
4,39047.933574
16,34610.42388675
25,46710.2587906
4,37198.728127
16,36988.879931
36,7003.84971
36,54758.6682295
16,43194.20994325
36,63655.6968061667
16,52026.219128
36,68910.5374406666
4,92950.451824
36,64524.7659206666
4,59522.804579
16,56799.09784875
4,70277.9237235
4,69669.870189
16,69631.34019675
20,51272.87530825
36,39879.565656
25,52028.8098052
16,41002.89090375
36,5909.37785533334
36,42241.491799
25,41221.2341682
25,27241.5257598
25,52752.1311752
25,47229.4633908
36,65190.0030285
