Name,CarValue,Age,YearsNoClaims
Name55,1980,72,6
Name55,220,72,6
Name56,2408,73,6
Name56,2800,73,6
Name56,3192,73,6
Name56,2520,73,6
Name56,616,73,6
Name56,504,73,6
Name56,3024,73,6
Name56,1008,73,6
Name57,2166,74,6
Name57,2850,74,6
Name57,2850,74,6
Name57,1539,74,6
Name57,684,74,6
Name58,3132,75,6
Name58,3422,75,6
Name58,2494,75,6
Name58,1044,75,6
Name59,2773,76,6
Name59,413,76,6
Name59,1357,76,6
Name59,1888,76,6
Name59,708,76,6
Name60,2520,77,6
Name60,3360,77,6
Name60,2760,77,6
Name60,2100,77,6
Name60,2220,77,6
Name60,600,77,6
Name60,3300,77,6
Name60,960,77,6
Name60,1680,77,6
Name60,3300,77,6
Name61,1220,78,6
Name62,3906,79,6
Name62,1240,79,6
Name63,252,80,6
Name63,3087,80,6
Name63,441,80,6
Name64,3776,81,6
Name64,512,81,6
Name64,1472,81,6
Name64,3136,81,6
Name64,320,81,6
Name64,2560,81,6
Name64,3072,81,6
Name64,3328,81,6
Name65,2470,82,7
Name65,390,82,7
Name65,1495,82,7
Name65,3250,82,7
Name65,650,82,7
Name65,2145,82,7
Name65,3445,82,7
Name66,396,83,7
Name67,4355,84,7
Name67,670,84,7
Name67,603,84,7
Name67,2948,84,7
Name67,3015,84,7
Name67,2747,84,7
Name67,1139,84,7
Name67,4489,84,7
Name68,1768,85,7
Name69,2967,86,7
Name69,1863,86,7
Name69,483,86,7
Name69,1104,86,7
Name69,2760,86,7
Name69,3174,86,7
Name69,828,86,7
Name70,1540,87,7
Name70,2730,87,7
Name71,639,88,7
Name71,4047,88,7
Name71,3124,88,7
Name71,2272,88,7
Name71,3905,88,7
Name72,648,89,7
Name72,1080,89,7
Name72,4248,89,7
Name72,4104,89,7
Name72,1512,89,7
Name72,3600,89,7
Name72,2448,89,7
Name73,1825,90,7
Name74,814,91,7
Name74,592,91,7
Name74,2442,91,7
Name74,4070,91,7
Name74,740,91,7
Name74,814,91,7
Name74,666,91,7
Name75,1200,92,8
Name75,1875,92,8
Name76,5244,93,8
Name76,3344,93,8
Name76,1368,93,8
Name77,4312,94,8
Name77,2002,94,8
Name77,3773,94,8
Name77,1155,94,8
Name77,2464,94,8
Name77,4158,94,8
Name77,5929,94,8
Name77,3773,94,8
Name77,2387,94,8
Name77,4620,94,8
Name78,4290,95,8
Name78,3354,95,8
Name78,3744,95,8
Name78,1950,95,8
Name79,2370,96,8
Name79,4740,96,8
Name79,2765,96,8
Name79,237,96,8
Name79,2133,96,8
Name80,6080,97,8
Name80,1680,97,8
Name80,4960,97,8
Name80,4880,97,8
Name80,4480,97,8
Name80,1440,97,8
Name80,5360,97,8
Name80,1200,97,8
Name80,5840,97,8
Name80,4640,97,8
Name81,3645,98,8
Name81,324,98,8
Name81,5022,98,8
Name81,3564,98,8
Name81,3726,98,8
Name81,2835,98,8
Name81,1782,98,8
Name81,6156,98,8
Name81,6237,98,8
Name81,6156,98,8
Name82,3116,99,8
Name82,5166,99,8
Name82,574,99,8
Name82,4674,99,8
Name82,4428,99,8
Name82,2788,99,8
Name83,5727,100,8
Name83,5976,100,8
Name83,4482,100,8
Name83,3154,100,8
Name84,4620,101,8
Name84,7140,101,8
Name84,4704,101,8
Name84,2856,101,8
Name84,336,101,8
Name84,1428,101,8
Name84,2772,101,8
Name84,5292,101,8
Name84,1344,101,8
Name85,6800,102,9
Name85,2805,102,9
Name85,4760,102,9
Name86,5504,103,9
Name87,3045,104,9
Name87,261,104,9
Name87,6177,104,9
Name87,6264,104,9
Name87,4785,104,9
Name87,4176,104,9
Name87,2001,104,9
Name88,6336,105,9
Name88,352,105,9
Name88,792,105,9
Name89,623,106,9
Name89,267,106,9
Name89,6319,106,9
Name89,7120,106,9
Name89,5073,106,9
Name89,1869,106,9
Name89,445,106,9
Name89,4984,106,9
Name89,2937,106,9
Name89,7921,106,9
Name90,8100,107,9
Name90,2880,107,9
Name90,2070,107,9
Name90,5670,107,9
Name90,3510,107,9
Name90,6210,107,9
Name90,4590,107,9
Name91,819,108,9
Name91,8372,108,9
Name91,8190,108,9
Name91,7462,108,9
Name91,3549,108,9
Name91,1183,108,9
Name92,6808,109,9
Name92,184,109,9
Name92,7912,109,9
Name92,460,109,9
Name92,6072,109,9
Name92,2024,109,9
Name92,5796,109,9
Name92,5428,109,9
Name93,7347,110,9
Name93,8184,110,9
Name94,1034,111,9
Name94,1880,111,9
Name95,570,112,10
Name96,2976,113,10
Name96,3264,113,10
Name96,4800,113,10
Name96,5952,113,10
Name96,3744,113,10
Name96,4800,113,10
Name96,9312,113,10
Name96,4608,113,10
Name97,3783,114,10
Name97,8730,114,10
Name98,3430,115,10
Name98,1372,115,10
Name98,6370,115,10
Name98,4018,115,10
Name98,8134,115,10
Name98,5488,115,10
Name98,5390,115,10
Name99,3663,116,10
Name99,4158,116,10
Name99,6930,116,10
Name99,3366,116,10
Name99,7425,116,10
Name99,495,116,10
Name99,6633,116,10
Name100,7300,117,10
Name100,6100,117,10
Name100,600,117,10
