FraudDetected,CarValue,Age,YearsNoClaims
0,45,26,1
0,81,26,1
0,90,26,1
1,2070,107,9
1,2880,107,9
1,3510,107,9
1,4590,107,9
1,5670,107,9
1,6210,107,9
1,8100,107,9
1,819,108,9
1,1183,108,9
1,3549,108,9
1,7462,108,9
1,8190,108,9
1,8372,108,9
1,184,109,9
1,460,109,9
1,2024,109,9
1,5428,109,9
1,5796,109,9
1,6072,109,9
1,6808,109,9
1,7912,109,9
1,7347,110,9
1,8184,110,9
1,1034,111,9
1,1880,111,9
1,570,112,10
1,2976,113,10
1,3264,113,10
1,3744,113,10
1,4608,113,10
1,4800,113,10
1,5952,113,10
1,9312,113,10
1,3783,114,10
1,8730,114,10
1,1372,115,10
1,3430,115,10
1,4018,115,10
1,5390,115,10
1,5488,115,10
1,6370,115,10
1,8134,115,10
1,495,116,10
1,3366,116,10
1,3663,116,10
1,4158,116,10
1,6633,116,10
1,6930,116,10
1,7425,116,10
